1414092,5.07,1.37,6.95,Win
1414092,1.18,1.37,1.62,Win
1414092,0.74,1.37,1.01,Win
1414092,4.38,1.35,5.91,Win
1414092,2.96,1.35,4.00,Win
1414092,0.42,1.35,0.57,Win
1414092,0.36,1.35,0.49,Win
1414092,0.25,1.35,0.34,Win
1414092,0.48,1.34,0.64,Win
1414092,0.26,1.34,0.35,Win
1414092,2.41,1.33,3.21,Win
1414092,1.52,1.33,2.02,Win
1414092,0.75,1.33,1.00,Win
1414092,0.38,1.33,0.51,Win
1414092,0.33,1.33,0.44,Win
1414092,0.30,1.33,0.40,Win
1414092,0.76,1.32,1.00,Win
1414092,0.40,1.32,0.53,Win
1414092,0.30,1.32,0.40,Win
1414092,0.97,1.31,1.27,Win
1414092,0.50,1.31,0.66,Win
1414092,0.30,1.31,0.39,Win
1414092,0.25,1.31,0.33,Win
1414092,4.20,1.30,5.45,Win
1414092,1.94,1.30,2.52,Win
1414092,1.49,1.30,1.94,Win
1414092,1.20,1.30,1.56,Win
1414092,1.02,1.30,1.33,Win
1414092,0.77,1.30,1.00,Win
1414092,0.75,1.30,0.98,Win
1414092,0.50,1.30,0.65,Win
1414092,0.38,1.30,0.49,Win
1414092,0.36,1.30,0.47,Win
1414092,0.36,1.30,0.47,Win
1414092,0.33,1.30,0.43,Win
1414092,0.31,1.30,0.40,Win
1414092,0.30,1.30,0.39,Win
1414092,0.26,1.30,0.34,Win
1414092,0.25,1.30,0.33,Win
1414092,0.25,1.30,0.33,Win
1414092,0.25,1.30,0.33,Win
1414092,0.35,1.29,0.45,Win
1414092,1.00,1.27,1.27,Win
1414092,2.00,1.25,2.50,Win
1414092,0.64,1.25,0.80,Win
1414092,0.40,1.25,0.50,Win
1414092,0.25,1.25,0.31,Win
1414092,0.82,1.24,1.02,Win
1414092,5.98,1.23,7.36,Win
1414092,1.40,1.23,1.72,Win
1414092,0.49,1.23,0.60,Win
1414092,0.25,1.22,0.30,Win
1414092,0.25,1.22,0.30,Win
1414092,8.92,1.21,10.79,Win
1414092,2.31,1.21,2.80,Win
1414092,0.25,1.21,0.30,Win
1414092,11.97,1.20,14.35,Win
1414092,10.43,1.20,12.51,Win
1414092,6.93,1.20,8.31,Win
1414092,6.22,1.20,7.45,Win
1414092,4.24,1.20,5.08,Win
1414092,3.00,1.20,3.60,Win
1414092,2.97,1.20,3.56,Win
1414092,2.27,1.20,2.72,Win
1414092,2.20,1.20,2.64,Win
1414092,2.16,1.20,2.59,Win
1414092,2.16,1.20,2.59,Win
1414092,1.32,1.20,1.58,Win
1414092,1.22,1.20,1.46,Win
1414092,1.20,1.20,1.44,Win
